age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
40,State-gov,83311,10th,8,Married-spouse-absent,Sales,Own-child,White,Male,14084,1408,60,South,>50K
79,Without-pay,83311,Assoc-acdm,3,Divorced,Armed-Forces,Own-child,Asian-Pac-Islander,Female,4386,1340,35,?,<=50K
47,,77516,7th-8th,8,Separated,Exec-managerial,Not-in-family,White,Female,2597,1573,24,England,>50K.
18,Self-emp-inc,83311,7th-8th,1,Divorced,?,Husband,White,Female,7688,1408,58,Iran,<=50K
46,Private,173449,7th-8th,16,Divorced,Exec-managerial,Other-relative,Black,Female,594,0,80,Thailand,>50K.
26,Self-emp-not-inc,350977,12th,12,Widowed,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Female,2174,1719,38,India,<=50K
43,Self-emp-inc,83311,Masters,16,Married-civ-spouse,Craft-repair,Unmarried,White,Female,15024,1977,40,United-States,<=50K
54,,173449,Doctorate,7,Married-AF-spouse,,Husband,Asian-Pac-Islander,Female,2050,1564,50,Canada,>50K
54,?,173449,9th,13,Widowed,Adm-clerical,Husband,White,Male,4064,1980,13,Philippines,<=50K
77,,350977,5th-6th,13,Married-civ-spouse,Adm-clerical,Own-child,Asian-Pac-Islander,Female,8614,1902,52,Jamaica,>50K.
29,Self-emp-not-inc,350977,Doctorate,15,Divorced,Prof-specialty,Wife,Other,Male,34095,2042,16,United-States,>50K
68,State-gov,173449,10th,3,Divorced,Farming-fishing,Husband,Amer-Indian-Eskimo,Female,34095,2206,38,Jamaica,<=50K.
26,Local-gov,173449,11th,8,Widowed,Protective-serv,Own-child,Black,Female,6849,2206,50,Puerto-Rico,>50K
34,Private,83311,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Female,6849,1340,42,Jamaica,<=50K.
36,Federal-gov,77516,Assoc-acdm,4,Never-married,Handlers-cleaners,Other-relative,Other,Female,3411,0,45,Ecuador,>50K
71,,89686,7th-8th,12,Married-spouse-absent,Adm-clerical,Wife,Other,Female,2174,1980,30,Poland,<=50K
22,Without-pay,83311,Bachelors,3,Married-AF-spouse,Armed-Forces,Own-child,Asian-Pac-Islander,Male,4064,1876,80,Mexico,<=50K
85,Without-pay,83311,Assoc-acdm,15,Married-spouse-absent,?,Unmarried,Asian-Pac-Islander,Female,7298,0,30,Philippines,<=50K
18,State-gov,89686,11th,16,Married-civ-spouse,Armed-Forces,Other-relative,Amer-Indian-Eskimo,Female,2174,1564,40,Philippines,>50K
17,Self-emp-inc,77516,Preschool,2,Married-civ-spouse,Protective-serv,Own-child,Amer-Indian-Eskimo,Female,34095,1902,38,South,<=50K.
58,Self-emp-inc,350977,1st-4th,11,Never-married,,Not-in-family,Asian-Pac-Islander,Female,8614,1902,35,Philippines,>50K.
17,Self-emp-inc,350977,Bachelors,16,Married-AF-spouse,Handlers-cleaners,Wife,Black,Male,4101,1816,52,Jamaica,>50K
56,State-gov,173449,7th-8th,12,Divorced,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,14084,1902,60,Poland,<=50K
18,Never-worked,173449,Preschool,4,Never-married,Craft-repair,Wife,Amer-Indian-Eskimo,Female,2407,1977,24,Italy,>50K
20,Without-pay,83311,Prof-school,11,Separated,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Male,1055,1762,35,Jamaica,>50K.
42,Self-emp-not-inc,89686,12th,13,Divorced,Protective-serv,Wife,Other,Male,3411,1816,45,Jamaica,>50K
82,Without-pay,215646,7th-8th,9,Married-spouse-absent,Other-service,Not-in-family,White,Female,3411,2042,70,Philippines,>50K.
90,Without-pay,173449,Prof-school,7,Separated,Protective-serv,Other-relative,Other,Male,3411,1887,48,Thailand,>50K
44,Without-pay,77516,Masters,1,Married-AF-spouse,Craft-repair,Wife,Amer-Indian-Eskimo,Male,0,1762,46,Italy,>50K
71,,77516,12th,8,Married-civ-spouse,Priv-house-serv,Not-in-family,Black,Male,2176,1741,32,India,>50K
29,Private,83311,Bachelors,10,Separated,Priv-house-serv,Own-child,Asian-Pac-Islander,Female,7688,1408,52,Iran,<=50K.
64,,77516,HS-grad,5,Married-spouse-absent,Exec-managerial,Other-relative,White,Male,15024,1485,15,Cuba,>50K
56,?,173449,Masters,6,Never-married,Protective-serv,Wife,Other,Male,594,0,48,Columbia,<=50K
71,Without-pay,173449,10th,14,Married-AF-spouse,Exec-managerial,Not-in-family,White,Male,2176,1977,44,India,>50K.
36,Self-emp-inc,77516,Preschool,8,Married-spouse-absent,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Male,9386,1564,48,Germany,>50K.
78,Federal-gov,83311,10th,4,Married-civ-spouse,Machine-op-inspct,Own-child,Black,Female,1409,1564,35,Iran,<=50K.
37,Self-emp-inc,89686,Prof-school,15,Widowed,,Husband,Other,Female,14344,1564,44,Iran,<=50K
47,Local-gov,83311,Preschool,4,Never-married,Protective-serv,Wife,Other,Male,1409,1573,45,Philippines,<=50K.
20,Never-worked,77516,10th,2,Divorced,Other-service,Not-in-family,Other,Female,5013,1762,24,Cuba,>50K
21,Without-pay,215646,12th,4,Never-married,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Male,4101,1977,43,Iran,>50K.
31,State-gov,89686,HS-grad,15,Married-spouse-absent,Farming-fishing,Husband,Asian-Pac-Islander,Male,4650,1762,46,Italy,<=50K
26,Local-gov,77516,11th,1,Married-AF-spouse,Other-service,Own-child,Other,Male,6849,1762,35,Philippines,>50K.
31,Never-worked,173449,HS-grad,11,Never-married,Armed-Forces,Other-relative,White,Male,0,1340,35,Mexico,<=50K
32,Local-gov,77516,11th,13,Widowed,Farming-fishing,Husband,Other,Female,34095,2206,52,Canada,>50K.
71,Local-gov,83311,7th-8th,3,Widowed,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Male,1409,1564,42,Cuba,<=50K
46,Private,215646,Preschool,10,Never-married,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,4101,1340,32,Iran,<=50K.
52,Federal-gov,215646,Doctorate,2,Married-AF-spouse,Prof-specialty,Wife,Black,Female,14084,1887,60,Cambodia,>50K.
90,Never-worked,350977,Bachelors,7,Married-spouse-absent,Other-service,Husband,Black,Male,4386,1485,60,Cambodia,>50K.
53,State-gov,77516,Some-college,14,Widowed,Tech-support,Own-child,Black,Male,25236,2042,46,Mexico,<=50K
30,Without-pay,77516,Some-college,16,Divorced,Tech-support,Own-child,White,Female,594,1887,15,Iran,>50K.
51,Without-pay,173449,Doctorate,5,Married-civ-spouse,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,1111,2179,25,Jamaica,<=50K
45,Self-emp-inc,215646,10th,16,Married-civ-spouse,Prof-specialty,Unmarried,Black,Male,3411,1762,56,Iran,<=50K
57,State-gov,215646,Masters,3,Widowed,Sales,Own-child,Asian-Pac-Islander,Female,1409,1741,58,?,<=50K
74,Self-emp-not-inc,77516,Some-college,1,Married-AF-spouse,Craft-repair,Unmarried,Other,Female,3411,1887,58,England,>50K.
71,State-gov,350977,Prof-school,11,Widowed,Priv-house-serv,Unmarried,White,Female,5013,1719,52,Honduras,<=50K.
39,State-gov,77516,Assoc-voc,9,Married-AF-spouse,Craft-repair,Other-relative,Asian-Pac-Islander,Female,25236,2042,32,Ecuador,>50K
73,Without-pay,77516,10th,8,Divorced,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Female,4064,2206,50,India,<=50K.
50,Federal-gov,350977,Assoc-acdm,4,Married-AF-spouse,Protective-serv,Not-in-family,White,Male,2597,1340,25,Cambodia,>50K.
19,Federal-gov,89686,10th,7,Divorced,Machine-op-inspct,Not-in-family,White,Female,20051,1573,25,Honduras,<=50K
27,Private,83311,9th,11,Married-civ-spouse,Farming-fishing,Husband,Other,Male,1111,1902,30,Canada,>50K
27,?,173449,Some-college,4,Married-civ-spouse,Protective-serv,Own-child,Black,Female,1409,1340,22,?,<=50K.
67,Never-worked,350977,12th,2,Widowed,Exec-managerial,Wife,Other,Male,2407,1485,42,Ecuador,<=50K.
78,Never-worked,77516,Masters,4,Separated,Craft-repair,Other-relative,Asian-Pac-Islander,Male,15024,1977,45,South,<=50K.
52,Local-gov,77516,7th-8th,14,Separated,?,Husband,Asian-Pac-Islander,Male,5178,1980,45,United-States,<=50K.
59,Self-emp-not-inc,83311,Masters,6,Divorced,Other-service,Own-child,Asian-Pac-Islander,Male,2407,1816,16,Cuba,<=50K
19,Self-emp-not-inc,77516,Prof-school,2,Never-married,Prof-specialty,Own-child,Black,Male,4064,1340,70,Philippines,<=50K
17,State-gov,350977,HS-grad,12,Married-spouse-absent,Farming-fishing,Husband,Black,Male,15024,1816,80,Ecuador,>50K
59,Never-worked,350977,Preschool,10,Married-AF-spouse,Tech-support,Wife,Other,Female,15024,1485,35,Columbia,<=50K.
26,Federal-gov,173449,Preschool,16,Married-AF-spouse,Craft-repair,Wife,Asian-Pac-Islander,Female,15024,1485,45,Cambodia,>50K.
73,Self-emp-not-inc,350977,HS-grad,15,Married-spouse-absent,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,15024,1902,32,India,<=50K.
67,Without-pay,77516,Prof-school,15,Married-spouse-absent,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Male,5178,1573,15,Jamaica,>50K
61,Without-pay,215646,12th,14,Separated,Farming-fishing,Not-in-family,Black,Male,7688,2179,44,Cuba,<=50K.
22,Private,83311,Some-college,12,Separated,Handlers-cleaners,Husband,Other,Male,1111,2179,56,?,<=50K.
17,Never-worked,173449,12th,7,Never-married,Transport-moving,Own-child,Other,Male,2050,1408,80,Philippines,>50K.
51,Local-gov,83311,Preschool,3,Married-AF-spouse,,Unmarried,Amer-Indian-Eskimo,Male,14344,1887,43,Poland,>50K
76,Self-emp-not-inc,215646,Masters,10,Separated,Priv-house-serv,Unmarried,Black,Female,2050,2206,25,Italy,>50K
52,Federal-gov,89686,Preschool,9,Married-AF-spouse,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,7688,1876,60,Cuba,>50K.
65,Without-pay,89686,1st-4th,5,Separated,Protective-serv,Own-child,Amer-Indian-Eskimo,Male,2050,1719,36,Honduras,<=50K.
65,?,77516,9th,12,Married-spouse-absent,Transport-moving,Unmarried,White,Female,1409,1977,38,Ecuador,>50K.
75,Never-worked,350977,HS-grad,2,Divorced,Craft-repair,Own-child,Black,Male,1055,1902,50,India,<=50K
46,Federal-gov,215646,HS-grad,9,Married-AF-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,2176,1887,42,Canada,<=50K
70,Self-emp-inc,89686,10th,10,Married-civ-spouse,,Other-relative,Asian-Pac-Islander,Female,1409,1340,41,Ecuador,>50K.
20,Federal-gov,77516,9th,15,Divorced,Transport-moving,Not-in-family,Black,Female,1055,2179,60,South,>50K
30,Federal-gov,173449,Bachelors,16,Married-spouse-absent,Tech-support,Other-relative,Other,Female,2407,1564,43,Thailand,<=50K.
45,Local-gov,173449,Some-college,2,Divorced,Handlers-cleaners,Husband,White,Female,0,1408,38,South,<=50K
83,Local-gov,173449,Assoc-acdm,1,Married-civ-spouse,?,Unmarried,Amer-Indian-Eskimo,Female,3464,0,32,Germany,<=50K
67,?,350977,Assoc-voc,13,Never-married,Protective-serv,Other-relative,White,Male,2176,1977,44,Germany,<=50K.
63,Federal-gov,173449,5th-6th,6,Widowed,Transport-moving,Husband,Other,Female,2407,1564,52,United-States,<=50K.
62,Federal-gov,350977,Some-college,16,Never-married,Sales,Own-child,Amer-Indian-Eskimo,Female,2176,1340,36,Columbia,<=50K.
71,Never-worked,350977,Preschool,2,Married-spouse-absent,Other-service,Not-in-family,White,Male,1409,1564,42,Ecuador,>50K
19,Never-worked,173449,Assoc-acdm,2,Married-spouse-absent,Adm-clerical,Wife,Asian-Pac-Islander,Female,34095,1762,30,Mexico,<=50K.
47,Self-emp-inc,215646,Assoc-acdm,3,Widowed,,Own-child,White,Female,34095,1887,45,United-States,>50K.
34,State-gov,83311,Assoc-acdm,6,Separated,Sales,Own-child,White,Female,8614,2179,48,Cuba,>50K
88,Never-worked,215646,Bachelors,16,Married-civ-spouse,Other-service,Unmarried,Black,Male,9386,1902,22,England,>50K
57,Self-emp-not-inc,215646,Some-college,8,Widowed,Craft-repair,Wife,Asian-Pac-Islander,Female,2174,1340,36,Ecuador,<=50K
38,Private,83311,10th,3,Married-civ-spouse,Farming-fishing,Unmarried,Asian-Pac-Islander,Female,25236,1573,15,Jamaica,<=50K
30,Private,350977,Some-college,3,Separated,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,4101,1408,50,Columbia,<=50K.
59,Local-gov,350977,HS-grad,5,Separated,Prof-specialty,Not-in-family,White,Female,2176,1408,13,South,<=50K
36,Local-gov,350977,Assoc-voc,1,Widowed,Farming-fishing,Other-relative,Black,Male,25236,1876,28,South,<=50K.
60,Self-emp-not-inc,77516,Bachelors,6,Never-married,Protective-serv,Own-child,White,Female,2050,1573,35,Germany,<=50K.
78,Private,77516,Some-college,15,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,15024,1876,42,Honduras,<=50K.
32,Without-pay,173449,12th,12,Widowed,Farming-fishing,Other-relative,Black,Male,3411,1719,32,Cambodia,>50K.
52,?,350977,Masters,13,Divorced,,Husband,Other,Male,1409,1719,80,Canada,<=50K.
50,,350977,12th,12,Widowed,Prof-specialty,Wife,Amer-Indian-Eskimo,Male,14344,1887,80,Germany,<=50K
72,?,173449,Assoc-voc,9,Married-civ-spouse,Sales,Other-relative,Asian-Pac-Islander,Male,14084,2206,35,Ecuador,>50K.
39,Without-pay,83311,HS-grad,14,Divorced,Armed-Forces,Wife,Amer-Indian-Eskimo,Female,4064,1408,30,Cambodia,>50K.
65,Local-gov,77516,Some-college,12,Married-civ-spouse,Tech-support,Own-child,Other,Female,14084,1887,43,India,>50K.
73,,83311,Prof-school,8,Never-married,Armed-Forces,Own-child,White,Male,14344,1762,70,Honduras,<=50K.
20,,83311,Preschool,14,Divorced,?,Husband,Amer-Indian-Eskimo,Male,3674,2042,30,South,<=50K.
67,Private,173449,Assoc-acdm,2,Never-married,Transport-moving,Unmarried,White,Female,4064,1816,52,Ecuador,<=50K
45,Local-gov,83311,5th-6th,7,Married-AF-spouse,Sales,Not-in-family,Asian-Pac-Islander,Female,1055,1762,41,Canada,>50K
31,Self-emp-inc,77516,5th-6th,4,Married-civ-spouse,?,Not-in-family,Asian-Pac-Islander,Male,2174,1762,32,Mexico,<=50K
69,Self-emp-not-inc,83311,Masters,7,Separated,Exec-managerial,Own-child,Asian-Pac-Islander,Male,3674,0,44,Germany,<=50K
20,State-gov,173449,5th-6th,14,Separated,Tech-support,Unmarried,Amer-Indian-Eskimo,Female,5178,2042,25,Cuba,>50K
61,,350977,Preschool,11,Married-AF-spouse,Handlers-cleaners,Unmarried,Amer-Indian-Eskimo,Male,14084,1485,52,Jamaica,>50K
84,Self-emp-inc,89686,1st-4th,5,Married-spouse-absent,,Not-in-family,Other,Male,2597,1485,43,Ecuador,>50K
22,State-gov,89686,12th,7,Separated,Armed-Forces,Wife,Other,Male,7688,1564,56,Honduras,<=50K.
43,Never-worked,89686,10th,16,Married-spouse-absent,Transport-moving,Other-relative,Other,Male,594,1408,13,Cuba,<=50K.
29,Without-pay,83311,5th-6th,4,Married-civ-spouse,Adm-clerical,Wife,Other,Male,4386,1876,58,Germany,>50K
22,Without-pay,83311,Assoc-acdm,9,Never-married,,Own-child,Black,Female,1055,2042,43,Germany,>50K
30,Without-pay,173449,Assoc-acdm,11,Widowed,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,4101,1741,55,Canada,>50K.
90,Self-emp-inc,83311,5th-6th,14,Married-AF-spouse,Protective-serv,Own-child,Other,Male,8614,1741,52,Italy,>50K
85,Federal-gov,83311,Some-college,11,Married-civ-spouse,Prof-specialty,Unmarried,Other,Male,9386,1741,20,Mexico,<=50K
55,Federal-gov,173449,Preschool,9,Married-spouse-absent,Farming-fishing,Not-in-family,Asian-Pac-Islander,Male,1409,1902,60,Iran,>50K
49,Self-emp-inc,350977,Preschool,7,Married-AF-spouse,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Female,3464,0,80,South,<=50K.
89,Private,350977,HS-grad,13,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Female,2050,1719,42,?,>50K
90,Self-emp-inc,173449,HS-grad,13,Never-married,Sales,Unmarried,Amer-Indian-Eskimo,Female,4064,1762,44,Jamaica,<=50K
23,,89686,Assoc-acdm,13,Married-spouse-absent,?,Unmarried,Asian-Pac-Islander,Female,4650,1564,42,Mexico,>50K.
30,Self-emp-not-inc,173449,1st-4th,8,Married-AF-spouse,Craft-repair,Wife,Amer-Indian-Eskimo,Male,8614,1887,48,Jamaica,<=50K
38,?,350977,7th-8th,7,Married-civ-spouse,Exec-managerial,Unmarried,Other,Male,14084,2206,80,Mexico,<=50K.
39,Never-worked,215646,7th-8th,3,Married-civ-spouse,Farming-fishing,Own-child,Other,Female,4650,1340,41,?,>50K.
84,Never-worked,215646,11th,3,Widowed,Sales,Own-child,Other,Male,3411,2179,20,Jamaica,<=50K.
55,Self-emp-inc,350977,10th,3,Divorced,,Husband,Other,Female,14084,1719,22,Puerto-Rico,<=50K.
85,Private,83311,7th-8th,10,Married-civ-spouse,,Unmarried,Amer-Indian-Eskimo,Female,4650,1980,60,Germany,>50K
85,Without-pay,215646,5th-6th,3,Married-AF-spouse,Sales,Other-relative,Asian-Pac-Islander,Female,594,1340,16,England,>50K
77,Private,173449,5th-6th,12,Divorced,Protective-serv,Other-relative,Other,Male,3464,1340,30,Mexico,<=50K.
67,Local-gov,77516,Assoc-acdm,1,Divorced,Machine-op-inspct,Own-child,Other,Female,1409,1485,40,Cuba,>50K
25,Federal-gov,350977,Bachelors,12,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Female,2050,1902,40,Philippines,>50K.
71,,350977,Masters,5,Divorced,Other-service,Husband,Other,Female,2407,1719,46,Thailand,>50K.
44,,77516,7th-8th,1,Never-married,?,Husband,Black,Female,20051,1573,45,India,>50K.
72,State-gov,89686,Assoc-voc,7,Widowed,?,Not-in-family,Amer-Indian-Eskimo,Female,3674,2206,15,Honduras,>50K
60,Private,350977,5th-6th,3,Married-civ-spouse,Adm-clerical,Unmarried,Other,Male,1055,2179,45,Thailand,<=50K
89,Self-emp-not-inc,350977,7th-8th,6,Widowed,,Not-in-family,Amer-Indian-Eskimo,Male,6849,0,36,Philippines,>50K
60,Private,83311,Masters,8,Divorced,Handlers-cleaners,Husband,Other,Male,9386,1573,35,Germany,<=50K.
44,State-gov,173449,5th-6th,12,Separated,Armed-Forces,Unmarried,Asian-Pac-Islander,Male,14084,1408,35,England,>50K.
89,State-gov,173449,5th-6th,9,Married-AF-spouse,Exec-managerial,Wife,Black,Male,25236,1408,25,Cambodia,<=50K
62,Self-emp-not-inc,89686,Masters,4,Divorced,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Female,5013,1977,24,India,<=50K
73,Local-gov,173449,Some-college,3,Widowed,Handlers-cleaners,Own-child,White,Male,0,1816,45,Italy,<=50K
68,Self-emp-not-inc,350977,Bachelors,6,Married-AF-spouse,Tech-support,Unmarried,Black,Female,1055,1762,16,Germany,>50K
18,Self-emp-not-inc,83311,5th-6th,3,Married-AF-spouse,Adm-clerical,Own-child,Other,Female,20051,1719,22,?,<=50K.
38,Self-emp-inc,77516,Some-college,5,Married-AF-spouse,Priv-house-serv,Husband,Other,Male,2407,1977,22,Italy,>50K
88,Private,350977,1st-4th,10,Widowed,Adm-clerical,Wife,Black,Male,4386,2179,55,Jamaica,>50K.
40,Without-pay,83311,1st-4th,4,Married-civ-spouse,,Husband,Amer-Indian-Eskimo,Male,2176,1902,80,Poland,>50K
63,Federal-gov,77516,Bachelors,16,Married-AF-spouse,Exec-managerial,Unmarried,Other,Male,8614,2206,46,Puerto-Rico,>50K
52,Never-worked,173449,Doctorate,8,Married-AF-spouse,Tech-support,Wife,Black,Female,1111,1980,46,Columbia,>50K.
70,State-gov,77516,10th,15,Divorced,?,Husband,Other,Female,8614,1741,80,Philippines,<=50K.
19,Self-emp-inc,173449,Doctorate,16,Never-married,Handlers-cleaners,Other-relative,Other,Female,20051,1741,32,Jamaica,<=50K
65,,350977,Preschool,16,Separated,Transport-moving,Other-relative,Black,Female,3674,1564,22,Mexico,>50K.
75,Private,89686,1st-4th,8,Separated,Transport-moving,Own-child,White,Female,7298,1902,58,Cambodia,<=50K
76,?,77516,Some-college,3,Divorced,?,Not-in-family,Other,Female,2597,1887,16,Cambodia,<=50K.
73,Federal-gov,77516,Assoc-voc,8,Divorced,Priv-house-serv,Wife,White,Male,9386,1573,25,Puerto-Rico,>50K
82,,215646,11th,4,Married-civ-spouse,Tech-support,Husband,Amer-Indian-Eskimo,Female,2597,1876,41,South,<=50K
22,State-gov,77516,12th,5,Separated,Armed-Forces,Own-child,Other,Male,1111,1980,46,Thailand,<=50K.
67,Self-emp-inc,215646,5th-6th,16,Married-AF-spouse,Transport-moving,Not-in-family,White,Male,1055,1408,16,Cambodia,>50K
77,,83311,Some-college,4,Married-AF-spouse,Sales,Other-relative,Asian-Pac-Islander,Female,0,2042,58,Jamaica,>50K
40,Local-gov,83311,11th,12,Separated,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Female,20051,2206,70,Germany,<=50K.
66,Local-gov,215646,Some-college,4,Never-married,Tech-support,Own-child,White,Male,1409,1816,46,Poland,<=50K
62,Self-emp-inc,89686,10th,2,Married-spouse-absent,Sales,Husband,Asian-Pac-Islander,Female,1409,1340,15,Poland,>50K.
88,?,215646,Assoc-voc,16,Never-married,,Not-in-family,White,Female,3411,1719,15,Thailand,<=50K.
35,Without-pay,89686,5th-6th,7,Separated,Prof-specialty,Own-child,Black,Male,9386,1741,46,Columbia,<=50K
26,Self-emp-inc,83311,Doctorate,15,Married-civ-spouse,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,0,0,50,?,<=50K.
69,Federal-gov,173449,7th-8th,9,Separated,Farming-fishing,Husband,White,Female,4064,0,35,Cambodia,<=50K.
89,Self-emp-not-inc,350977,HS-grad,14,Married-AF-spouse,Protective-serv,Not-in-family,Other,Male,9386,0,20,Iran,>50K
26,,215646,Preschool,10,Divorced,Other-service,Husband,Black,Female,14344,1408,24,Germany,>50K.
62,Self-emp-not-inc,350977,Assoc-acdm,8,Separated,,Unmarried,Asian-Pac-Islander,Female,5013,0,48,Canada,>50K.
51,?,215646,10th,12,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Male,2174,1980,52,?,<=50K.
43,Without-pay,173449,Assoc-acdm,9,Divorced,,Own-child,Asian-Pac-Islander,Male,14084,1980,15,Honduras,>50K
62,,173449,Doctorate,6,Married-AF-spouse,Transport-moving,Husband,Black,Female,2050,1340,58,Germany,>50K.
17,,173449,HS-grad,13,Married-spouse-absent,Handlers-cleaners,Own-child,White,Male,7298,1887,42,South,<=50K.
25,Never-worked,173449,Prof-school,6,Widowed,?,Own-child,Asian-Pac-Islander,Male,1111,1573,36,Philippines,>50K.
34,Federal-gov,77516,5th-6th,3,Widowed,Tech-support,Unmarried,White,Female,1055,2206,28,Honduras,>50K.
20,?,83311,12th,15,Never-married,Transport-moving,Own-child,Other,Female,2176,1977,48,Philippines,>50K.
77,Self-emp-not-inc,350977,Assoc-acdm,14,Separated,Craft-repair,Unmarried,Asian-Pac-Islander,Male,8614,1980,15,Germany,>50K
74,Without-pay,350977,9th,8,Never-married,Sales,Unmarried,White,Male,2407,1340,58,Honduras,<=50K
64,Private,350977,12th,15,Married-spouse-absent,,Own-child,Black,Female,3411,2042,38,Canada,>50K.
37,,83311,1st-4th,11,Married-civ-spouse,Other-service,Unmarried,Asian-Pac-Islander,Male,9386,1980,55,Iran,>50K
72,,215646,Doctorate,5,Married-AF-spouse,Farming-fishing,Not-in-family,Black,Male,34095,1977,28,United-States,<=50K
37,Self-emp-not-inc,350977,10th,6,Married-civ-spouse,Machine-op-inspct,Wife,Other,Female,4101,1719,70,England,<=50K.
50,Self-emp-not-inc,350977,9th,4,Widowed,Craft-repair,Husband,Black,Male,2176,1980,35,South,>50K.
35,Private,350977,7th-8th,4,Married-spouse-absent,Armed-Forces,Other-relative,White,Female,8614,1741,16,?,>50K
73,Never-worked,77516,1st-4th,10,Never-married,Prof-specialty,Wife,Asian-Pac-Islander,Male,5178,2206,46,Jamaica,<=50K
83,Without-pay,350977,Some-college,8,Married-AF-spouse,Armed-Forces,Other-relative,Other,Male,14084,1980,55,Puerto-Rico,>50K.
89,State-gov,89686,Assoc-acdm,11,Divorced,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,1409,1902,70,Puerto-Rico,>50K
69,?,77516,10th,12,Married-AF-spouse,Craft-repair,Own-child,Black,Female,2176,1741,80,?,<=50K.
73,Never-worked,350977,Prof-school,6,Married-AF-spouse,Exec-managerial,Wife,Amer-Indian-Eskimo,Male,4064,1741,16,United-States,<=50K.
32,Self-emp-inc,89686,Bachelors,14,Widowed,Adm-clerical,Husband,Asian-Pac-Islander,Female,4064,1980,52,Germany,<=50K.
58,Local-gov,215646,7th-8th,6,Married-spouse-absent,Sales,Unmarried,Black,Female,20051,1762,36,Germany,>50K.
69,State-gov,350977,Doctorate,2,Widowed,Priv-house-serv,Own-child,Other,Female,2050,1977,16,Canada,>50K.
46,Self-emp-not-inc,89686,Doctorate,13,Married-civ-spouse,Armed-Forces,Other-relative,Black,Female,8614,1485,28,Canada,>50K
81,State-gov,350977,HS-grad,3,Widowed,Craft-repair,Other-relative,Amer-Indian-Eskimo,Male,20051,1564,45,Mexico,<=50K.
86,Self-emp-not-inc,215646,12th,10,Never-married,Protective-serv,Other-relative,Amer-Indian-Eskimo,Female,6849,2042,32,Philippines,>50K
70,Private,77516,Assoc-voc,2,Never-married,Other-service,Not-in-family,Other,Female,0,2206,41,Columbia,>50K.
61,Self-emp-inc,215646,7th-8th,3,Married-AF-spouse,Tech-support,Unmarried,Other,Male,0,1741,30,Philippines,<=50K.
60,Without-pay,77516,5th-6th,2,Never-married,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,14084,1573,25,Jamaica,>50K.
76,Never-worked,89686,7th-8th,10,Married-spouse-absent,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,25236,1485,15,Canada,>50K.
38,Self-emp-not-inc,77516,10th,1,Never-married,Prof-specialty,Own-child,Black,Male,2176,1902,20,Italy,<=50K
31,Local-gov,89686,9th,2,Widowed,Other-service,Not-in-family,White,Male,5013,1816,60,England,<=50K.
48,State-gov,77516,Some-college,6,Never-married,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Female,14344,1902,22,Poland,>50K
22,Local-gov,215646,1st-4th,8,Never-married,Handlers-cleaners,Unmarried,Black,Female,25236,1887,80,India,>50K
83,Local-gov,77516,9th,12,Married-AF-spouse,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,6849,1887,80,Canada,<=50K.
38,Private,77516,Preschool,1,Divorced,?,Wife,Other,Male,1055,1741,44,Puerto-Rico,<=50K.
80,Without-pay,89686,Masters,1,Married-spouse-absent,Armed-Forces,Husband,Amer-Indian-Eskimo,Female,1055,0,58,Thailand,>50K.
69,Local-gov,173449,5th-6th,14,Married-AF-spouse,Adm-clerical,Husband,Black,Female,0,1977,55,Philippines,<=50K
56,?,173449,5th-6th,15,Married-AF-spouse,Farming-fishing,Not-in-family,Black,Female,8614,1980,20,Cambodia,<=50K
85,Self-emp-inc,83311,12th,5,Married-AF-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,14344,2206,32,Iran,>50K.
